epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.56,2.49039,4.38475,1.36336,0,0,0,0,1.90056,4.21981,1.00827,0.000967742,0.000967742,0.001
2,91.3278,1.63027,4.05165,1.01045,0.00084,0.03238,6e-05,1e-05,1.73941,4.29223,1.01904,0.000901,0.000901,0.000901
3,134.219,1.4063,3.70158,0.93539,0.0118,0.29562,0.00737,0.00343,1.4374,4.05679,0.91497,0.000802,0.000802,0.000802
4,173.787,1.32246,3.32503,0.90877,0.01727,0.61804,0.18266,0.07896,1.39464,3.57505,0.91726,0.000703,0.000703,0.000703
5,213.1,1.26919,2.94873,0.89656,0.92157,0.18236,0.30754,0.16022,1.45679,3.09007,0.93448,0.000604,0.000604,0.000604
6,252.276,1.21149,2.57659,0.8883,0.9008,0.26651,0.4926,0.28443,1.4073,2.63742,0.93302,0.000505,0.000505,0.000505
7,293.527,1.16851,2.25939,0.87714,0.7909,0.38359,0.55371,0.32741,1.38107,2.3542,0.93132,0.000406,0.000406,0.000406
8,333.703,1.12811,1.98933,0.87227,0.73716,0.4709,0.62887,0.38387,1.38275,2.12514,0.9206,0.000307,0.000307,0.000307
9,372.802,1.09991,1.77294,0.86358,0.69381,0.51299,0.66291,0.4185,1.35744,2.02544,0.91764,0.000208,0.000208,0.000208
10,427.617,1.06797,1.63197,0.86212,0.71135,0.53246,0.68509,0.43608,1.36567,1.99697,0.92036,0.000109,0.000109,0.000109
